2026-09-17 17:02:17Z | netdiag-server | [NetDiagnostics/Server] wallSim=8.2Hz simClock=60.0Hz (target 60) simSteps=82 catchUpTicks=41 (50%) unityFrames=41 ticksPerFrame=2.0 tickMs avg=1.7 max=3.9 ships=0 bullets=0 unityDt=0.035 maxDelta=0.10 targetFps=60 deltaMs avg=70.4 max=100.0 wallFrameMs avg=250.6 max=1712.3 slowFrames(>20ms)=41 | Verdict: SLOW-MO — sim clock at target but wall-clock ticks are behind (deltaTime clamp / present rate)
2026-09-17 17:02:27Z | netdiag-server | [NetDiagnostics/Server] wallSim=61.5Hz simClock=60.0Hz (target 60) simSteps=616 catchUpTicks=308 (50%) unityFrames=308 ticksPerFrame=2.0 tickMs avg=2.1 max=82.5 ships=1 bullets=0 unityDt=0.025 maxDelta=0.10 targetFps=60 deltaMs avg=24.7 max=100.0 wallFrameMs avg=32.6 max=2433.3 slowFrames(>20ms)=202 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 17:02:37Z | netdiag-server | [NetDiagnostics/Server] wallSim=54.7Hz simClock=60.0Hz (target 60) simSteps=548 catchUpTicks=274 (50%) unityFrames=274 ticksPerFrame=2.0 tickMs avg=2.4 max=16.7 ships=1 bullets=0 unityDt=0.028 maxDelta=0.10 targetFps=60 deltaMs avg=34.0 max=100.0 wallFrameMs avg=36.7 max=413.6 slowFrames(>20ms)=274 | Verdict: SLOW-MO — sim clock at target but wall-clock ticks are behind (deltaTime clamp / present rate)
2026-09-17 17:02:47Z | netdiag-server | [NetDiagnostics/Server] wallSim=59.7Hz simClock=60.0Hz (target 60) simSteps=598 catchUpTicks=299 (50%) unityFrames=299 ticksPerFrame=2.0 tickMs avg=2.4 max=31.0 ships=1 bullets=2 unityDt=0.027 maxDelta=0.10 targetFps=60 deltaMs avg=31.5 max=100.0 wallFrameMs avg=33.6 max=399.6 slowFrames(>20ms)=299 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 17:02:57Z | netdiag-server | [NetDiagnostics/Server] wallSim=61.1Hz simClock=60.0Hz (target 60) simSteps=612 catchUpTicks=275 (45%) unityFrames=337 ticksPerFrame=1.8 tickMs avg=2.4 max=6.6 ships=1 bullets=0 unityDt=0.029 maxDelta=0.10 targetFps=60 deltaMs avg=29.6 max=100.0 wallFrameMs avg=29.8 max=151.5 slowFrames(>20ms)=337 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 17:03:07Z | netdiag-server | [NetDiagnostics/Server] wallSim=49.1Hz simClock=60.0Hz (target 60) simSteps=492 catchUpTicks=246 (50%) unityFrames=246 ticksPerFrame=2.0 tickMs avg=2.3 max=5.8 ships=1 bullets=0 unityDt=0.036 maxDelta=0.10 targetFps=60 deltaMs avg=39.2 max=100.0 wallFrameMs avg=40.9 max=218.5 slowFrames(>20ms)=246 | Verdict: SLOW-MO — sim clock at target but wall-clock ticks are behind (deltaTime clamp / present rate)
2026-09-17 17:03:17Z | netdiag-server | [NetDiagnostics/Server] wallSim=49.3Hz simClock=60.0Hz (target 60) simSteps=494 catchUpTicks=247 (50%) unityFrames=247 ticksPerFrame=2.0 tickMs avg=2.4 max=6.4 ships=1 bullets=0 unityDt=0.028 maxDelta=0.10 targetFps=60 deltaMs avg=40.4 max=100.0 wallFrameMs avg=40.8 max=123.1 slowFrames(>20ms)=247 | Verdict: SLOW-MO — sim clock at target but wall-clock ticks are behind (deltaTime clamp / present rate)
2026-09-17 17:03:27Z | netdiag-server | [NetDiagnostics/Server] wallSim=50.3Hz simClock=60.0Hz (target 60) simSteps=504 catchUpTicks=252 (50%) unityFrames=252 ticksPerFrame=2.0 tickMs avg=2.4 max=4.5 ships=1 bullets=0 unityDt=0.028 maxDelta=0.10 targetFps=60 deltaMs avg=39.3 max=100.0 wallFrameMs avg=39.9 max=132.3 slowFrames(>20ms)=252 | Verdict: SLOW-MO — sim clock at target but wall-clock ticks are behind (deltaTime clamp / present rate)
2026-09-17 17:03:37Z | netdiag-server | [NetDiagnostics/Server] wallSim=47.6Hz simClock=60.0Hz (target 60) simSteps=480 catchUpTicks=240 (50%) unityFrames=240 ticksPerFrame=2.0 tickMs avg=2.4 max=5.0 ships=1 bullets=0 unityDt=0.038 maxDelta=0.10 targetFps=60 deltaMs avg=39.4 max=100.0 wallFrameMs avg=41.9 max=594.3 slowFrames(>20ms)=240 | Verdict: SLOW-MO — sim clock at target but wall-clock ticks are behind (deltaTime clamp / present rate)
2026-09-17 17:03:47Z | netdiag-server | [NetDiagnostics/Server] wallSim=36.3Hz simClock=60.0Hz (target 60) simSteps=364 catchUpTicks=182 (50%) unityFrames=182 ticksPerFrame=2.0 tickMs avg=2.5 max=7.9 ships=1 bullets=0 unityDt=0.054 maxDelta=0.10 targetFps=60 deltaMs avg=42.5 max=100.0 wallFrameMs avg=55.6 max=689.1 slowFrames(>20ms)=182 | Verdict: SLOW-MO — sim clock at target but wall-clock ticks are behind (deltaTime clamp / present rate)
2026-09-17 17:03:57Z | netdiag-server | [NetDiagnostics/Server] wallSim=66.5Hz simClock=60.0Hz (target 60) simSteps=666 catchUpTicks=333 (50%) unityFrames=333 ticksPerFrame=2.0 tickMs avg=2.3 max=7.3 ships=1 bullets=0 unityDt=0.029 maxDelta=0.10 targetFps=60 deltaMs avg=29.4 max=100.0 wallFrameMs avg=30.2 max=277.0 slowFrames(>20ms)=333 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 17:04:07Z | netdiag-server | [NetDiagnostics/Server] wallSim=68.5Hz simClock=60.0Hz (target 60) simSteps=686 catchUpTicks=343 (50%) unityFrames=343 ticksPerFrame=2.0 tickMs avg=2.5 max=6.6 ships=1 bullets=0 unityDt=0.030 maxDelta=0.10 targetFps=60 deltaMs avg=29.2 max=48.1 wallFrameMs avg=29.3 max=48.2 slowFrames(>20ms)=343 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 17:04:17Z | netdiag-server | [NetDiagnostics/Server] wallSim=69.8Hz simClock=60.0Hz (target 60) simSteps=700 catchUpTicks=350 (50%) unityFrames=350 ticksPerFrame=2.0 tickMs avg=2.3 max=5.2 ships=1 bullets=4 unityDt=0.033 maxDelta=0.10 targetFps=60 deltaMs avg=28.6 max=43.0 wallFrameMs avg=28.7 max=43.2 slowFrames(>20ms)=350 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 17:04:27Z | netdiag-server | [NetDiagnostics/Server] wallSim=68.3Hz simClock=60.0Hz (target 60) simSteps=684 catchUpTicks=342 (50%) unityFrames=342 ticksPerFrame=2.0 tickMs avg=2.9 max=5.4 ships=1 bullets=4 unityDt=0.028 maxDelta=0.10 targetFps=60 deltaMs avg=29.3 max=48.0 wallFrameMs avg=29.4 max=47.9 slowFrames(>20ms)=342 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 17:04:37Z | netdiag-server | [NetDiagnostics/Server] wallSim=70.1Hz simClock=60.0Hz (target 60) simSteps=702 catchUpTicks=351 (50%) unityFrames=351 ticksPerFrame=2.0 tickMs avg=2.6 max=5.2 ships=1 bullets=8 unityDt=0.028 maxDelta=0.10 targetFps=60 deltaMs avg=28.5 max=51.1 wallFrameMs avg=28.6 max=51.4 slowFrames(>20ms)=351 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 17:04:47Z | netdiag-server | [NetDiagnostics/Server] wallSim=52.8Hz simClock=60.0Hz (target 60) simSteps=528 catchUpTicks=264 (50%) unityFrames=264 ticksPerFrame=2.0 tickMs avg=2.5 max=6.6 ships=1 bullets=0 unityDt=0.048 maxDelta=0.10 targetFps=60 deltaMs avg=35.2 max=100.0 wallFrameMs avg=38.1 max=531.1 slowFrames(>20ms)=264 | Verdict: SLOW-MO — sim clock at target but wall-clock ticks are behind (deltaTime clamp / present rate)
2026-09-17 17:04:57Z | netdiag-server | [NetDiagnostics/Server] wallSim=55.7Hz simClock=60.0Hz (target 60) simSteps=560 catchUpTicks=280 (50%) unityFrames=280 ticksPerFrame=2.0 tickMs avg=2.3 max=6.9 ships=1 bullets=0 unityDt=0.085 maxDelta=0.10 targetFps=60 deltaMs avg=34.1 max=100.0 wallFrameMs avg=35.8 max=259.8 slowFrames(>20ms)=280 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
