2026-09-17 17:12:36Z | netdiag-server | [NetDiagnostics/Server] wallSim=67.8Hz simClock=60.0Hz (target 60) simSteps=678 catchUpTicks=339 (50%) unityFrames=339 ticksPerFrame=2.0 tickMs avg=2.4 max=8.2 ships=1 bullets=0 unityDt=0.026 maxDelta=0.10 targetFps=60 deltaMs avg=29.5 max=100.0 wallFrameMs avg=29.6 max=107.2 slowFrames(>20ms)=339 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 17:12:46Z | netdiag-server | [NetDiagnostics/Server] wallSim=62.7Hz simClock=60.0Hz (target 60) simSteps=628 catchUpTicks=282 (45%) unityFrames=346 ticksPerFrame=1.8 tickMs avg=2.5 max=8.4 ships=1 bullets=0 unityDt=0.028 maxDelta=0.10 targetFps=60 deltaMs avg=28.9 max=100.0 wallFrameMs avg=29.0 max=134.5 slowFrames(>20ms)=346 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 17:12:56Z | netdiag-server | [NetDiagnostics/Server] wallSim=60.1Hz simClock=60.0Hz (target 60) simSteps=601 catchUpTicks=205 (34%) unityFrames=395 ticksPerFrame=1.5 tickMs avg=2.3 max=5.5 ships=1 bullets=0 unityDt=0.024 maxDelta=0.10 targetFps=60 deltaMs avg=25.3 max=48.0 wallFrameMs avg=25.4 max=48.0 slowFrames(>20ms)=394 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 17:13:06Z | netdiag-server | [NetDiagnostics/Server] wallSim=60.0Hz simClock=60.0Hz (target 60) simSteps=600 catchUpTicks=206 (34%) unityFrames=395 ticksPerFrame=1.5 tickMs avg=2.4 max=5.0 ships=1 bullets=0 unityDt=0.025 maxDelta=0.10 targetFps=60 deltaMs avg=25.3 max=45.0 wallFrameMs avg=25.4 max=45.0 slowFrames(>20ms)=395 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 17:13:16Z | netdiag-server | [NetDiagnostics/Server] wallSim=59.1Hz simClock=60.0Hz (target 60) simSteps=592 catchUpTicks=238 (40%) unityFrames=353 ticksPerFrame=1.7 tickMs avg=2.6 max=10.0 ships=1 bullets=0 unityDt=0.030 maxDelta=0.10 targetFps=60 deltaMs avg=27.9 max=100.0 wallFrameMs avg=28.4 max=253.0 slowFrames(>20ms)=353 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 17:13:26Z | netdiag-server | [NetDiagnostics/Server] wallSim=60.0Hz simClock=60.0Hz (target 60) simSteps=601 catchUpTicks=256 (43%) unityFrames=346 ticksPerFrame=1.7 tickMs avg=2.5 max=4.8 ships=1 bullets=0 unityDt=0.026 maxDelta=0.10 targetFps=60 deltaMs avg=29.0 max=80.9 wallFrameMs avg=29.0 max=81.0 slowFrames(>20ms)=346 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 17:13:36Z | netdiag-server | [NetDiagnostics/Server] wallSim=60.0Hz simClock=60.0Hz (target 60) simSteps=601 catchUpTicks=236 (39%) unityFrames=364 ticksPerFrame=1.7 tickMs avg=2.5 max=4.7 ships=1 bullets=0 unityDt=0.024 maxDelta=0.10 targetFps=60 deltaMs avg=27.5 max=52.1 wallFrameMs avg=27.6 max=52.4 slowFrames(>20ms)=364 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 17:13:46Z | netdiag-server | [NetDiagnostics/Server] wallSim=60.0Hz simClock=60.0Hz (target 60) simSteps=601 catchUpTicks=211 (35%) unityFrames=391 ticksPerFrame=1.5 tickMs avg=2.4 max=5.7 ships=1 bullets=0 unityDt=0.027 maxDelta=0.10 targetFps=60 deltaMs avg=25.6 max=49.0 wallFrameMs avg=25.7 max=49.0 slowFrames(>20ms)=391 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 17:13:56Z | netdiag-server | [NetDiagnostics/Server] wallSim=60.0Hz simClock=60.0Hz (target 60) simSteps=601 catchUpTicks=251 (42%) unityFrames=349 ticksPerFrame=1.7 tickMs avg=2.4 max=5.3 ships=1 bullets=0 unityDt=0.030 maxDelta=0.10 targetFps=60 deltaMs avg=28.7 max=60.4 wallFrameMs avg=28.8 max=60.7 slowFrames(>20ms)=349 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 17:14:06Z | netdiag-server | [NetDiagnostics/Server] wallSim=58.9Hz simClock=60.0Hz (target 60) simSteps=592 catchUpTicks=259 (44%) unityFrames=334 ticksPerFrame=1.8 tickMs avg=2.5 max=5.2 ships=1 bullets=0 unityDt=0.060 maxDelta=0.10 targetFps=60 deltaMs avg=30.1 max=86.6 wallFrameMs avg=30.2 max=87.6 slowFrames(>20ms)=334 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 17:14:16Z | netdiag-server | [NetDiagnostics/Server] wallSim=61.0Hz simClock=60.0Hz (target 60) simSteps=612 catchUpTicks=273 (45%) unityFrames=338 ticksPerFrame=1.8 tickMs avg=2.5 max=5.1 ships=1 bullets=0 unityDt=0.032 maxDelta=0.10 targetFps=60 deltaMs avg=29.7 max=53.7 wallFrameMs avg=29.8 max=53.1 slowFrames(>20ms)=338 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 17:14:26Z | netdiag-server | [NetDiagnostics/Server] wallSim=60.0Hz simClock=60.0Hz (target 60) simSteps=601 catchUpTicks=225 (37%) unityFrames=377 ticksPerFrame=1.6 tickMs avg=2.4 max=4.2 ships=1 bullets=0 unityDt=0.028 maxDelta=0.10 targetFps=60 deltaMs avg=26.6 max=42.2 wallFrameMs avg=26.7 max=41.7 slowFrames(>20ms)=377 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
